ID_EQUIPAMENTO;NUM_SERIE;MATRICULA;ANO_FABRICO;HORAS;MARCA;TIPO_EQUIPAMENTO;MODELO;CONTA_CLIENTE;NUM_CLIENTE
19354;FTR00957;;2016;1450;Caterpillar;Pá Carregadora de Rodas;950M;21111;3444
20261;H5M04521;;2017;1500;Caterpillar;Mini Escavadora de Rastos;305E2CR;21111;2464
20470;GJD10431;;2018;1500;Caterpillar;Escavadora de Rastos;313FL;21111;6428
19730;FB300224;;2017;800;Caterpillar;Escavadora de Rodas;MH3022;21111;3444
19686;PRG00195;;2017;2800;Caterpillar;Escavadora de Rastos;313FL;21111;744
19668;H2600338;;2017;1080;Caterpillar;Pá Carregadora de Rodas;918M;21111;3444
19731;PLB10046;;2017;3100;Caterpillar;Escavadora de Rastos;323F;21111;3444
20028;HWP01381;43-VE-57;2017;2820;Caterpillar;Retroescavadora;432F2;21111;2464
20190;HWP01627;39-VF-39;2018;549;Caterpillar;Retroescavadora;432F2;21111;1777
20134;MEL00126;;2015;4100;Caterpillar;Tractor de Rastos;D6T;21111;1194
20096;GJD10176;;2017;2900;Caterpillar;Escavadora de Rastos;313FL;21111;1053
20046;HCJ10143;;2017;2600;Caterpillar;Escavadora de Rastos;326F;21111;889
20144;ECZ20005;;2017;1500;Caterpillar;Escavadora de Rastos;316FL;21111;2464
20356;HWP02060;98-VN-20;2018;750;Caterpillar;Retroescavadora;432F2;21111;1271
20246;HEX01459;;2018;390;Caterpillar;Escavadora de Rastos;320;21111;1127
20385;ECZ20074;;2018;1700;Caterpillar;Escavadora de Rastos;316FL;21111;1434
20386;HWP02102;09-VS-09;2018;514;Caterpillar;Retroescavadora;432F2;21111;2861
20708;HWP00945;14-ZL-91;2016;650;Caterpillar;Retroescavadora;432F2;21111;979
20728;Y9C00226;;2019;235;Caterpillar;Motoniveladora;120;21111;744
20700;HWP02680;32-ZE-41;2019;611;Caterpillar;Retroescavadora;432F2;21111;639
99999;XPTO;;2020;99;Caterpillar;Escavadora de Rastos;XPTO;21111;744